,0
C12,0.07364565991344614
V_PCA_5,0.058779086851909926
C13,0.053192978611755315
C8,0.05133261499387362
C1,0.048899657574173194
V_PCA_8,0.038060873536759195
C11,0.03495217736382698
C14,0.034249553180245224
C2,0.02676308640028586
card1,0.026669320574253308
C7,0.026439153439261683
C10,0.025479111957841933
C6,0.02492975237405269
V_PCA_10,0.024449505399647596
V_PCA_3,0.023873812894952648
V_PCA_9,0.02188388910509496
D8,0.01994864060528049
ProductCD,0.019796826529226045
V_PCA_7,0.019578094601620712
C4,0.019285819900872046
TransactionAmt,0.019138484669352546
V_PCA_4,0.017856523850251882
TransactionDT,0.017844496743114356
D3,0.01692328435148345
V_PCA_6,0.016094000116356047
V_PCA_1,0.01601294964399501
card2,0.01512917059929457
card3,0.013781472154157603
V_PCA_2,0.012552240674606337
R_emaildomain,0.012486735936825732
D2,0.012195400348504519
addr1,0.011171652210152101
D1,0.011139540255469992
TransactionID,0.010692125285924987
D5,0.009077046651145082
C9,0.009050973393834047
D15,0.008307853886179528
D4,0.008304062845830226
M4,0.0073785083718031766
card6,0.006307822527200715
D6,0.006148052396286821
M5,0.006139776587286191
Day,0.0059954435243819385
P_emaildomain,0.005972647206800732
D9,0.0059434193748633
D10,0.005526314059832565
card5,0.005495935196453376
Hour,0.005183767914796985
D12,0.0045912269797539
D13,0.003931416745505039
card4,0.0038534308203057414
M6,0.0034437546260783457
addr2,0.002747154725048036
D14,0.002451244806062979
Week,0.0023903925110595942
dist2,0.002195918742090014
dist1,0.0011028565182729314
M3,0.0007854423205370968
D7,0.0007503892299802076
M2,0.00042575934445384316
C5,0.0003985274802818141
M8,0.00036732952634254795
D11,0.0002508691783638081
M7,0.0002494698430382737
M9,5.500018262478667e-06
C3,0.0
M1,0.0
